date,dailyreturns,totalcap,chngcap,divfac,spread,shrout,SDT_RET,Mkt-RF,SMB,HML,RMW,CMA,RF,SPYRET,TMW_SPYRET,UP_DWN
1978-10-03,-0.0030190499999999993,442134914.125,-0.004191094245845517,0.00036981,0.65875,95254.96,0.009716835529875276,-0.31,0.01,0.13,-0.35,-0.04,0.031,-0.017964,0.006098,1
1978-10-04,0.00477837,444979763.375,0.0064343465288871915,0.0,0.82375,95384.82,0.012842877704408931,0.38,-0.46,0.05,-0.06,0.0,0.031,0.006098,0.024242,1
1978-10-05,0.0020027600000000006,445207098.0,0.0005108875587414019,0.0,0.725,95507.3,0.010809461025369855,0.22,0.19,0.08,0.1,-0.15,0.031,0.024242,0.047337,1
1978-10-06,0.001968199999999999,446166186.0,0.0021542513682026865,6.0429999999999996e-05,0.665,95507.3,0.009378164015575239,0.23,0.16,-0.07,0.09,-0.09,0.031,0.047337,0.107345,1
1978-10-09,0.01151027,451674237.25,0.01234529066261425,0.0,0.77875,95254.96,0.011347149778604354,0.92,-0.37,-0.19,0.29,-0.02,0.031,0.107345,0.020408,1
1978-10-10,-0.0005806199999999995,450361964.375,-0.0029053525013729153,0.0,0.77,94974.01,0.010585947094830269,-0.14,0.25,0.05,0.01,-0.19,0.031,0.020408,-0.005,0
1978-10-11,0.011936320000000002,456563420.625,0.013769937829022139,0.0,1.05125,95432.36,0.014389769165064405,0.86,-0.7,-0.32,0.2,0.07,0.031,-0.005000,-0.005025,0
1978-10-12,-0.006341150000000001,453020289.5,-0.007760435823241707,0.0,0.9875,94773.23,0.01094657058273171,-0.47,0.65,0.06,-0.13,-0.25,0.031,-0.005025,-0.025253,0
1978-10-13,-0.0031435200000000008,451861989.375,-0.0025568393995739624,0.0,0.6275,94773.23,0.008900021597386119,-0.29,0.21,0.09,-0.1,0.05,0.031,-0.025253,-0.025907,0
1978-10-16,-0.018942189999999998,442750209.625,-0.020164961789778113,8.344999999999998e-05,1.06625,95054.18,0.012422052652232986,-1.82,0.14,0.38,-0.14,0.08,0.031,-0.025907,-0.06383,0
1978-10-17,-0.013084810000000007,438101819.5,-0.010498899885190593,0.0,0.9075,94588.03,0.012545793417663422,-1.71,-1.33,0.11,-0.09,0.21,0.031,-0.063830,-0.028409,0
1978-10-18,-0.007280150000000003,435545111.5,-0.005835876242006766,9.052000000000001e-05,0.86875,95355.47,0.011402818999654818,-0.99,-0.88,0.1,-0.04,0.08,0.031,-0.028409,-0.023392,0
1978-10-19,-0.012929980000000006,429996707.125,-0.012738988978412635,0.0,1.00375,95556.25,0.01179720283743035,-1.32,-0.42,0.38,-0.17,0.17,0.031,-0.023392,-0.071856,0
1978-10-20,-0.011492259999999999,425891423.375,-0.009547244622984064,0.0,0.97875,95041.15,0.012477880622958694,-1.79,-2.02,0.09,0.04,0.45,0.031,-0.071856,0.070968,1
1978-10-23,0.0040709200000000004,427693295.125,0.004230824222100971,0.0,0.9975,95369.64,0.01237650249683413,-0.25,-1.47,-0.18,0.26,0.01,0.031,0.070968,-0.024096,0
1978-10-24,-0.008087709999999996,424318455.75,-0.007890793270475815,0.0,0.915,94587.98,0.012542761727926404,-0.58,0.43,0.35,-0.03,0.11,0.031,-0.024096,0.012346,1
1978-10-25,-0.0022565099999999998,423699879.375,-0.0014578116191213963,0.0002063,1.09875,94587.98,0.011336651428263974,-0.22,0.22,0.01,0.05,0.03,0.031,0.012346,-0.02439,0
1978-10-26,-0.013126379999999995,419478724.625,-0.009962605503278987,1.8550000000000007e-05,1.08875,95163.59,0.013977965130428488,-1.73,-1.74,0.64,-0.31,0.78,0.031,-0.024390,-0.13125,0
1978-10-27,-0.01145454,414263839.75,-0.01243182208981386,0.0,1.06,95346.24,0.014419674702771121,-1.97,-1.65,-0.04,0.2,0.44,0.031,-0.131250,0.035971,1
1978-10-30,0.011324480000000001,418425186.75,0.01004516108022191,0.00105315,1.8875,95346.24,0.022579054046750067,0.0,-3.15,-0.76,0.5,-0.34,0.031,0.035971,-0.118056,0
1978-10-31,-0.019261760000000003,408890154.5,-0.022787902239013613,0.0012935100000000003,1.455,95355.31,0.015761396249050905,-1.81,0.25,0.75,-0.29,-0.12,0.031,-0.118056,0.19685,1
1978-11-01,0.044070729999999995,426187353.25,0.04230280078802928,0.00045536999999999986,1.62,94628.58,0.02941973580859583,4.12,0.64,-1.67,1.33,-1.21,0.033,0.196850,-0.006579,0
1978-11-02,-0.013583910000000003,420641318.0,-0.013013138958036463,0.0,1.1575,94628.58,0.015448927835764088,-0.92,1.22,0.25,0.01,0.23,0.033,-0.006579,0.033113,1
1978-11-03,0.005379080000000004,423239734.5,0.006177273579196951,0.00101175,0.9925,95131.82,0.016255108618386884,0.56,0.29,-0.14,0.37,0.61,0.033,0.033113,-0.038462,0
1978-11-06,-0.008491130000000003,417787491.0,-0.012882163595629992,0.00069134,0.755,95133.41,0.011787777726543882,-0.8,0.76,0.36,-0.49,-0.27,0.033,-0.038462,-0.06,0
1978-11-07,-0.012956579999999997,412593509.5,-0.012432113483263674,0.0,0.76625,95607.73,0.01019808693208405,-1.58,-0.9,0.53,-0.46,0.18,0.033,-0.060000,0.021277,1
1978-11-08,0.006366480000000001,415537540.25,0.007135426714704574,0.0,0.88,95607.73,0.011876158335833092,0.43,-0.45,-0.56,0.44,0.11,0.033,0.021277,0.034722,1
1978-11-09,0.0014536300000000002,415386530.75,-0.00036340759948949586,0.00026267,0.825,95621.12,0.011181553915839616,0.14,0.46,-0.03,-0.07,0.0,0.033,0.034722,0.013423,1
1978-11-10,0.002544469999999999,416169017.875,0.0018837566148020013,0.0007530299999999999,0.6375,96013.3,0.009036965431560094,0.49,0.44,0.02,-0.26,0.0,0.033,0.013423,-0.059603,0
1978-11-13,-0.015401640000000005,408987514.5,-0.017256218186710415,0.0004977599999999999,0.88125,95981.54,0.013117722036414956,-1.67,-0.08,0.42,-0.25,0.1,0.033,-0.059603,-0.014085,0
1978-11-14,-0.007364430000000001,407466915.375,-0.0037179597691606725,0.0,0.85375,95615.86,0.012610359885808017,-1.02,-1.33,0.2,0.03,0.02,0.033,-0.014085,0.028571,1
1978-11-15,0.00365946,408206030.25,0.0018139261056808742,7.578000000000001e-05,0.86125,95615.86,0.011085114505698369,0.29,0.22,-0.23,-0.05,-0.28,0.033,0.028571,-0.006944,0
1978-11-16,0.013206069999999997,413327269.5,0.012545721695643719,0.00021754000000000003,0.7275,95485.07,0.011621952006853065,1.01,-0.45,-0.48,0.38,-0.28,0.033,-0.006944,0.020979,1
1978-11-17,0.00724269,416067048.0,0.006628593616178069,0.00045066,0.695,95176.73,0.011063153096576165,0.95,0.55,-0.34,0.02,-0.24,0.033,0.020979,0.034247,1
1978-11-20,0.008721600000000003,419809986.25,0.008995997803700195,0.000125,0.76125,95176.75,0.00894257955914943,0.91,0.19,-0.22,0.3,-0.1,0.033,0.034247,0.033113,1
1978-11-21,-0.002939499999999999,418375705.125,-0.0034165007312281226,0.0,0.66,95378.98,0.00986662249222298,-0.13,0.4,-0.03,0.08,-0.02,0.033,0.033113,0.00641,1
1978-11-22,0.005220530000000005,420820997.625,0.00584472872120867,0.00037203,0.685,95375.5,0.010742340072415051,0.59,0.33,-0.16,-0.03,0.19,0.033,0.006410,0.012739,1
1978-11-24,0.00339739,421725408.375,0.0021491578488341823,0.00018623,0.54125,95377.14,0.008085399976856903,0.47,0.33,-0.22,0.16,0.1,0.033,0.012739,0.025157,1
1978-11-27,0.003609170000000001,422808812.625,0.002568980261764553,0.0006977999999999999,0.68375,94797.0,0.010779574803794722,0.25,0.0,-0.17,0.18,-0.18,0.033,0.025157,-0.018405,0
1978-11-28,-0.009090360000000002,418696785.625,-0.009725499746494282,0.0,0.87125,94903.89,0.011464596555139706,-0.8,0.27,0.35,-0.36,-0.06,0.033,-0.018405,-0.05625,0
1978-11-29,-0.01365321,413023756.875,-0.013549253170242803,0.0,0.68625,95282.15,0.010839391622846476,-1.39,0.14,0.44,-0.39,0.1,0.033,-0.056250,0.033113,1
1978-11-30,0.01049825,417249589.75,0.01023145231880429,0.00013506,0.84625,95247.11,0.012573220263940164,0.9,-0.21,-0.41,0.21,-0.17,0.033,0.033113,0.064103,1
1978-12-01,0.019247410000000006,424423949.5,0.01719440815819273,0.0,0.86,94938.18,0.013211959543982044,1.57,0.08,-0.7,0.52,-0.31,0.039,0.064103,0.0,0
1978-12-04,-0.00034555999999999964,423911574.25,-0.0012072251120692767,0.0008085500000000001,0.81125,95222.66,0.011508721951457494,0.01,0.26,-0.06,0.17,-0.22,0.039,0.000000,0.042169,1
1978-12-05,0.014891150000000002,429776104.25,0.01383432384542882,0.0,0.96625,95047.84,0.014382750061122074,1.24,-0.16,-0.35,0.39,-0.24,0.039,0.042169,-0.023121,0
1978-12-06,0.00110663,429897023.25,0.0002813534740631063,0.0,0.8925,94733.1,0.010249449192054422,0.17,0.25,0.16,-0.05,0.04,0.039,-0.023121,-0.053254,0
1978-12-07,-0.004870509999999998,427674545.75,-0.005169790391192253,0.00010176999999999998,0.7875,94735.28,0.007613115321528296,-0.39,0.38,-0.04,-0.06,-0.02,0.039,-0.053254,0.0125,1
1978-12-08,-0.00553205,425837105.125,-0.004296352549525095,0.00020194999999999998,0.67875,95464.77,0.010428420434325158,-0.43,0.24,0.43,-0.41,-0.03,0.039,0.012500,0.074074,1
1978-12-11,0.006050709999999999,428498472.375,0.006249730749082527,0.00069431,0.76125,95095.47,0.009570106829771148,0.43,-0.18,-0.31,0.2,-0.26,0.039,0.074074,-0.011494,0
1978-12-12,-0.00560161,426348224.5,-0.005018099278352173,0.00016933999999999997,0.64375,95317.19,0.00843879985350854,-0.52,0.2,0.3,-0.12,0.23,0.039,-0.011494,0.0,0
1978-12-13,-0.006541369999999998,423633196.75,-0.00636809911237235,0.0,0.75875,95610.59,0.009543751902520764,-0.59,0.14,0.02,-0.09,0.0,0.039,0.000000,0.017442,1
1978-12-14,0.0006164100000000006,424476812.0,0.0019913813564942373,0.0,0.59625,95628.34,0.008689872946142596,-0.03,-0.04,0.03,0.02,-0.23,0.039,0.017442,-0.04,0
1978-12-15,-0.007733799999999997,421589562.75,-0.006801900995242138,0.00013707,0.67375,95067.55,0.008767981544439769,-0.74,0.01,0.16,-0.17,0.21,0.039,-0.040000,-0.029762,0
1978-12-18,-0.019791229999999996,414019660.25,-0.01795562122226657,0.0,0.79625,95629.03,0.014732618417355896,-2.23,-0.77,0.59,-0.39,0.3,0.039,-0.029762,-0.01227,0
1978-12-19,0.00848285,418721986.25,0.011357736000171093,0.00013889,0.915,95067.71,0.012855381575119392,0.72,-0.37,-0.7,0.7,-0.1,0.039,-0.012270,0.031056,1
