,real,predict
0,266.0,243.37538
1,269.59,243.03535
2,273.03,242.16507
3,273.10999,242.49774
4,271.39999,243.52605
5,270.04999,245.07451
6,270.39999,247.35309
7,274.70999,250.67175
8,277.89999,255.7616
9,274.42999,262.11874
10,271.64999,261.94638
11,267.70001,255.64691
12,269.07999,252.51082
13,272.19,249.76088
14,272.88,250.47774
15,272.78,251.65027
16,274.10001,250.61052
17,278.87,251.87386
18,278.51999,256.34283
19,276.72,257.2405
20,275.29999,251.12328
21,275.0,248.65948
22,274.20001,248.87788
23,270.48999,250.01968
24,270.95001,256.49747
25,270.42999,247.72113
26,263.67001,248.59583
27,258.04999,250.2438
28,265.10999,301.54443
29,260.60001,246.83601
30,259.82999,241.15114
31,263.14999,241.46497
32,257.47,242.90648
33,260.76999,241.91289
34,263.56,241.62396
35,265.64001,242.46173
36,259.72,243.93187
37,261.0,243.51112
38,265.14999,245.50224
39,263.76001,246.52498
40,265.92999,247.83218
41,265.14999,251.23476
42,267.32999,255.10124
43,270.19,257.65036
44,270.39001,261.68295
45,268.89001,265.5908
46,266.60999,265.53363
47,266.57001,267.94342
48,262.98001,292.82672
49,263.63,284.41528
50,266.31,276.17966
51,266.56,277.55136
52,264.51001,275.05893
53,264.98001,269.9151
54,263.20001,270.39868
55,262.62,270.07306
56,266.01999,273.41025
57,266.92001,288.59772
58,266.92001,273.30194
59,269.5,266.4149
60,272.01999,266.85977
61,272.85001,261.7805
62,272.98001,251.25957
63,271.10001,249.42598
64,272.23999,250.3115
65,272.01001,254.47742
66,271.32999,252.54053
67,273.37,253.08807
68,272.60999,255.4821
69,273.35999,256.6783
70,272.79999,258.26828
71,272.14999,259.5298
72,269.01999,259.82788
73,272.60999,256.00754
74,270.94,261.859
75,273.60001,260.5818
76,274.89999,266.47165
77,275.10001,260.73813
78,277.39999,259.21838
79,277.37,258.28818
80,278.19,257.03665
81,278.56,261.0338
82,278.92001,263.1175
83,278.03,269.5371
84,278.73001,269.9443
85,277.13,281.13812
86,276.56,282.55383
87,275.5,283.56903
88,275.97,283.2525
89,274.23999,278.5555
90,274.73999,270.44534
91,271.0,273.50616
92,271.60001,267.94162
93,269.35001,266.2781
94,270.89001,259.41672
95,271.28,260.0895
96,271.85999,261.79935
97,270.89999,262.10352
98,273.10999,262.07718
99,275.42001,263.45132
100,277.89999,267.9211
101,278.89999,262.84094
102,276.85999,256.97736
103,279.37,252.06313
104,279.59,250.98164
105,279.34,250.17471
106,280.47,252.53014
107,281.06,254.92581
108,280.0,255.52751
109,279.67999,264.4863
110,280.20001,271.79312
111,281.60999,275.97623
112,284.01001,278.8497
113,283.34,277.95547
114,281.42001,272.36227
115,279.95001,268.6968
116,281.32999,263.46243
117,280.85999,260.55588
118,282.39001,258.44022
119,283.60001,263.30984
120,284.64001,270.44818
121,285.57999,286.3211
122,285.45999,296.03232
123,285.07001,311.15405
124,283.16,321.0126
125,282.10001,325.1038
126,283.89999,326.16232
127,281.78,326.25504
128,284.06,324.81927
129,285.06,325.78882
130,285.67001,326.7787
131,286.34,332.1126
132,286.17001,328.6737
133,285.79001,329.86588
134,287.51001,346.09518
135,289.78,344.68826
136,289.92001,343.32108
137,291.48001,345.7405
138,290.29999,340.92105
139,290.31,336.7065
140,289.81,328.68872
141,289.03,329.18677
142,288.16,334.44125
143,287.60001,343.8161
144,288.10001,338.0853
145,289.04999,333.9443
146,289.12,332.60092
147,290.82999,348.16312
148,290.88,350.2046
149,289.34,357.67523
150,290.91,354.27936
151,291.22,349.09885
152,293.57999,346.39938
153,291.98999,343.997
154,291.01999,345.24258
155,290.75,342.75867
156,289.88,334.70172
157,290.69,342.20758
158,290.72,319.42307
159,291.73001,343.91425
160,291.56,347.11035
161,291.72,346.27472
162,289.44,346.8024
163,287.82001,346.0294
164,287.82001,318.81277
165,287.39999,312.088
166,278.29999,320.87283
167,272.17001,263.51132
168,275.95001,263.59988
169,274.39999,268.4334
170,280.39999,267.94077
171,280.45001,269.3814
172,276.39999,273.6438
173,276.25,276.609
174,275.01001,271.81326
175,273.60999,265.35535
176,265.32001,260.76984
177,270.07999,252.6889
178,265.32999,248.62506
