,real,predict
0,273.03,266.07773
1,273.10999,267.34552
2,271.39999,268.31934
3,270.04999,269.0462
4,270.39999,269.54956
5,274.70999,269.82678
6,277.89999,270.22534
7,274.42999,270.99146
8,271.64999,271.71432
9,267.70001,271.95572
10,269.07999,271.33603
11,272.19,270.34406
12,272.88,269.73404
13,272.78,269.81137
14,274.10001,270.32745
15,278.87,271.15125
16,278.51999,272.09933
17,276.72,273.12387
18,275.29999,273.92496
19,275.0,274.29385
20,274.20001,274.45068
21,270.48999,274.42917
22,270.95001,273.99408
23,270.42999,273.5431
24,263.67001,273.18707
25,258.04999,272.20068
26,265.10999,270.2141
27,260.60001,268.24915
28,259.82999,266.55383
29,263.14999,265.1158
30,257.47,264.17874
31,260.76999,263.11945
32,263.56,262.24728
33,265.64001,261.83252
34,259.72,262.05588
35,261.0,261.96307
36,265.14999,261.7597
37,263.76001,261.8448
38,265.92999,262.13925
39,265.14999,262.77225
40,267.32999,263.44925
41,270.19,264.2327
42,270.39001,265.20175
43,268.89001,266.2301
44,266.60999,266.98972
45,266.57001,267.18066
46,262.98001,267.0773
47,263.63,266.52698
48,266.31,265.72568
49,266.56,265.26608
50,264.51001,265.31906
51,264.98001,265.4846
52,263.20001,265.61923
53,262.62,265.55246
54,266.01999,264.98914
55,266.92001,264.42377
56,266.92001,264.3395
57,269.5,264.6857
58,272.01999,265.36432
59,272.85001,266.26498
60,272.98001,267.26022
61,271.10001,268.23672
62,272.23999,268.8552
63,272.01001,269.30743
64,271.32999,269.7068
65,273.37,269.95953
66,272.60999,270.318
67,273.35999,270.74783
68,272.79999,271.16122
69,272.14999,271.403
70,269.01999,271.5298
71,272.60999,271.16183
72,270.94,270.81232
73,273.60001,270.48483
74,274.89999,270.4799
75,275.10001,270.99197
76,277.39999,271.8397
77,277.37,272.79697
78,278.19,273.60095
79,278.56,274.21198
80,278.92001,274.74985
81,278.03,275.21384
82,278.73001,275.5296
83,277.13,275.7576
84,276.56,275.63892
85,275.5,275.57306
86,275.97,275.4123
87,274.23999,275.40833
88,274.73999,275.4363
89,271.0,275.5299
90,271.60001,275.00275
91,269.35001,274.29456
92,270.89001,273.4221
93,271.28,272.76196
94,271.85999,272.29022
95,270.89999,272.13162
96,273.10999,272.27533
97,275.42001,272.63803
98,277.89999,273.1191
99,278.89999,273.84836
100,276.85999,274.66483
101,279.37,275.15424
102,279.59,275.57834
103,279.34,276.06116
104,280.47,276.63898
105,281.06,277.26788
106,280.0,277.92877
107,279.67999,278.39432
108,280.20001,278.522
109,281.60999,278.636
110,284.01001,278.86444
111,283.34,279.2321
112,281.42001,279.6732
113,279.95001,279.9712
114,281.32999,280.08466
115,280.85999,280.14914
116,282.39001,280.29797
117,283.60001,280.57315
118,284.64001,281.00238
119,285.57999,281.6717
120,285.45999,282.45972
121,285.07001,283.27094
122,283.16,283.97324
123,282.10001,284.17587
124,283.89999,283.91757
125,281.78,283.68265
126,284.06,283.151
127,285.06,282.7139
128,285.67001,282.58224
129,286.34,282.92435
130,286.17001,283.47092
131,285.79001,284.1432
132,287.51001,284.7947
133,289.78,285.36676
134,289.92001,285.96103
135,291.48001,286.60162
136,290.29999,287.25702
137,290.31,287.77658
138,289.81,288.10245
139,289.03,288.3181
140,288.16,288.33725
141,287.60001,288.21927
142,288.10001,288.01324
143,289.04999,287.96378
144,289.12,288.18686
145,290.82999,288.51562
146,290.88,288.9628
147,289.34,289.39694
148,290.91,289.5777
149,291.22,289.67807
150,293.57999,289.88907
151,291.98999,290.03888
152,291.01999,289.9592
153,290.75,289.9611
154,289.88,290.24
155,290.69,290.4661
156,290.72,290.66473
157,291.73001,290.7561
158,291.56,290.86548
159,291.72,291.1053
160,289.44,291.3469
161,287.82001,291.0813
162,287.82001,290.3132
163,287.39999,289.43323
164,278.29999,288.78687
165,272.17001,287.1951
166,275.95001,284.3099
167,274.39999,281.3833
168,280.39999,279.33334
169,280.45001,278.56064
170,276.39999,278.67566
171,276.25,278.80054
172,275.01001,278.6324
173,273.60999,278.41437
174,265.32001,277.8257
175,270.07999,276.33127
176,265.32999,274.71475
177,263.85999,272.80264
178,267.76999,270.84225
179,270.63,269.30917
180,273.51001,268.54636
181,271.89001,268.72443
182,273.39001,269.273
183,275.12,270.18463
184,281.01001,271.3832
185,280.5,272.73514
186,277.76001,274.1118
187,272.57001,275.01172
188,272.06,275.13525
189,270.20001,274.73877
190,273.01999,273.91336
191,273.73001,272.98282
192,269.10001,272.2131
193,264.12,271.5723
194,265.01999,270.6733
195,263.25,269.85687
196,267.5,269.37387
197,268.39999,269.29007
198,274.57999,269.39447
199,273.98001,269.59906
200,275.64999,269.90115
201,279.29999,270.32407
202,270.25,270.96802
203,269.84,270.8796
204,263.57001,269.90277
205,264.07001,268.37427
206,264.13,266.91672
207,265.45999,265.88422
208,265.37,265.5662
